Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Severity Value,AVERAGE MEAN
Jute,2004,Autumn,2520,24728,1290.4,273016.8,529.2,8.1725,2,25.03
Linseed,2004,Rabi,22376,8529,1290.4,2424215.84,4698.96,0.355625,2,25.03
Maize,2004,Autumn,58692,94954,1290.4,6358691.28,12325.32,1.0572,2,25.03
Maize,2004,Summer,2071,4226,1290.4,224372.14,434.91,1.267727273,2,25.03
Maize,2004,Winter,1575,3107,1290.4,170635.5,330.75,1.461538462,2,25.03
Masoor,2004,Rabi,10400,4130,1290.4,1126736,2184,0.393333333,2,25.03
Moong(Green Gram),2004,Autumn,18750,4373,1290.4,2031375,3937.5,0.171176471,2,25.03
Moong(Green Gram),2004,Summer,111395,35257,1290.4,12068534.3,23392.95,0.275,2,25.03
Moong(Green Gram),2004,Winter,82486,16515,1290.4,8936533.24,17322.06,0.196666667,2,25.03
Niger seed,2004,Rabi,123617,33969,1290.4,13392665.78,25959.57,0.31,2,25.03
Onion,2004,Whole Year,26684,241852,1290.4,2890944.56,5603.64,8.963333333,2,25.03
Other  Rabi pulses,2004,Rabi,41790,25599,1290.4,4527528.6,8775.9,0.598666667,2,25.03
Potato,2004,Winter,8506,80770,1290.4,921540.04,1786.26,8.655,2,25.03
Ragi,2004,Autumn,24161,15814,1290.4,2617602.74,5073.81,0.548571429,2,25.03
Ragi,2004,Summer,261,213,1290.4,28276.74,54.81,0.802,2,25.03
Ragi,2004,Winter,39385,24820,1290.4,4266970.9,8270.85,0.472142857,2,25.03
Rapeseed &Mustard,2004,Winter,15863,3029,1290.4,1718597.42,3331.23,0.159,2,25.03
Rice,2004,Autumn,824000,677000,1290.4,89272160,173040,0.98,2,25.03
Rice,2004,Summer,293000,652000,1290.4,31743620,61530,1.938148148,2,25.03
Rice,2004,Winter,3375000,5207000,1290.4,365647500,708750,1.511333333,2,25.03
Safflower,2004,Rabi,1804,1092,1290.4,195445.36,378.84,0.498,2,25.03
Sesamum,2004,Autumn,4001,978,1290.4,433468.34,840.21,0.199375,2,25.03
Sesamum,2004,Summer,8284,2187,1290.4,897488.56,1739.64,0.283076923,2,25.03
